B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,TN
0.156350002,0.142100006,0.136899993,0.110650003,0.113250002,0.089000002,0.098099999,0.080700003,0.079999998,0.0107,0.042599998,0.032499999,2.09 
0.170100003,0.157299995,0.154799998,0.133300006,0.133300006,0.106299996,0.114399999,0.092500001,0.092399999,0.011,0.041299999,0.033,1.59 
0.173099995,0.159199998,0.159050003,0.136299998,0.136999995,0.108649999,0.118950002,0.095449999,0.094800003,0.0104,0.043850001,0.035,2.01 
0.17475,0.153500006,0.155599996,0.13335,0.135499999,0.116899997,0.123599999,0.101000004,0.104549997,0.0114,0.06095,0.0502,1.61 
0.180500001,0.16945,0.165549994,0.149649993,0.140149996,0.108099997,0.115900002,0.096699998,0.095799997,0.0125,0.053399999,0.043299999,2.26 
0.175799996,0.160799995,0.157250002,0.135749996,0.135550007,0.111699998,0.120949998,0.098300003,0.100550003,0.01045,0.048799999,0.037,2.72 
0.179949999,0.167400002,0.166600004,0.143549994,0.134849995,0.101199999,0.108649999,0.08935,0.086599998,0.0087,0.045200001,0.03565,1.33 
0.179800004,0.168899998,0.168699995,0.150999993,0.143450007,0.106449999,0.112899996,0.091750003,0.091449998,0.0096,0.050250001,0.038449999,1.14 
0.161500007,0.138799995,0.130449995,0.105949998,0.11265,0.095100001,0.102349997,0.082599998,0.08185,0.00905,0.03675,0.02785,1.98 
0.179399997,0.167400002,0.170200005,0.145099998,0.138300002,0.102200001,0.1105,0.088299997,0.089500003,0.0088,0.0447,0.0352,2.41 
0.178299993,0.162300006,0.167799994,0.136700004,0.128099993,0.095399998,0.102899998,0.086999997,0.086499996,0.0096,0.0493,0.038699999,1.03 
0.160300002,0.140049994,0.136299998,0.111850001,0.125300005,0.10565,0.113949999,0.098399997,0.093050003,0.01045,0.04445,0.0352,4.06 
0.165000007,0.148849994,0.143350005,0.11795,0.132799998,0.112800002,0.123899996,0.095849998,0.102200001,0.01095,0.046799999,0.0374,3.41 
0.179399997,0.167950004,0.164900005,0.145199999,0.140100002,0.108050004,0.116400003,0.093099996,0.092500001,0.00905,0.042750001,0.033750001,6.73 
