,日期,断面,lon,lat,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,TP,TN
1,NA,纳溪大渡口,105.2302,28.7511,0.968900025,1.014600039,1.168499947,1.12650001,1.524099946,1.384299994,1.212000012,0.042667,1.03
2,NA,云池(白洋),111.4927,30.4087,0.859099984,0.873899996,0.974399984,0.90140003,1.764400005,1.32190001,1.037400007,0.040667,2.02
3,NA,南津关,111.2706,30.7639,0.925700009,0.928499997,0.984899998,0.934700012,1.655099988,1.220199943,1.046800017,0.041,0.96
4,NA,手爬岩,105.5415,28.8952,0.961499989,1.007400036,1.122599959,1.067100048,1.504400015,1.397799969,1.185799956,0.053667,1.293333
5,NA,清江大桥,111.4304,30.3997,1.029000044,1.040799975,1.104500055,1.100999951,1.524600029,1.353199959,1.25940001,0.0075,2.805
6,NA,丰收坝,106.4615,29.3897,0.942900002,0.978600025,1.061300039,0.986800015,0.90990001,0.828199983,0.800700009,0.053385,0.989692
7,NA,纳溪大渡口,105.2302,28.7511,0.943700016,0.962499976,1.053900003,1.108700037,1.592900038,1.466799974,1.296499968,0.053754,0.951228
8,NA,和尚山,106.5334,29.5071,0.990499973,1.014999986,1.07949996,1.012199998,0.939899981,0.854399979,0.819599986,0.026525,1.389672
9,NA,江津大桥,106.2569,29.2639,0.91474998,0.924600005,0.975250006,0.948949993,1.338350058,1.188349962,1.071949959,0.053926,1.186176
10,NA,云池(白洋),111.4927,30.4087,0.868399978,0.90140003,1.010599971,0.945200026,1.799499989,1.377400041,1.079399943,0.050627,2.36403
11,NA,寸滩,106.5996,29.6149,0.976700008,0.990549982,1.078950047,1.068249941,1.717550039,1.440750003,1.222499967,0.020389,0.452222
12,NA,手爬岩,105.5415,28.8952,0.93629998,0.947099984,1.030099988,1.016800046,1.534500003,1.478899956,1.229599953,0.059785,1.089538
13,NA,清江大桥,111.4304,30.3997,0.939499974,0.984200001,1.062000036,1.039600015,1.489500046,1.276900053,1.142400026,0.015986,3.236901
14,NA,丰收坝,106.4615,29.3897,0.931100011,0.974699974,1.069499969,1.015900016,0.851499975,0.778199971,0.75940001,0.051662,1.590662
15,NA,纳溪大渡口,105.2302,28.7511,0.883099973,0.916299999,1.012199998,0.981400013,1.505200028,1.420899987,1.16260004,0.04614,0.9625
16,NA,白帝城,109.5593,31.0377,0.860050023,0.874300003,0.915400028,0.829599977,0.794449985,0.757600009,0.745999992,0.045261,1.655075
17,NA,和尚山,106.5334,29.5071,0.943700016,0.987999976,1.082599998,1.031800032,0.841400027,0.772800028,0.756099999,0.033784,1.422463
18,NA,江津大桥,106.2569,29.2639,0.967000008,0.973200023,0.99970001,0.965600014,1.487800002,1.346300006,1.159100056,0.053943,1.043491
19,NA,寸滩,106.5996,29.6149,0.879100025,0.903800011,0.992699981,0.986899972,1.390200019,1.211300015,1.050899982,0.044443,1.145038
20,NA,手爬岩,105.5415,28.8952,0.96390003,0.970499992,1.05369997,1.022400022,1.421499968,1.375499964,1.191300035,0.066438,1.077
21,NA,清溪场,107.4545,29.7967,0.835600019,0.878000021,0.976300001,0.893000007,0.991100013,0.864000022,0.809499979,0.046956,1.228382
22,NA,晒网坝,108.4766,30.839,0.845799983,0.876600027,0.927999973,0.818199992,0.762499988,0.745700002,0.740100026,0.040615,1.190221
23,NA,丰收坝,106.4615,29.3897,0.863300025,0.92809999,1.094599962,1.006299973,0.913399994,0.820500016,0.784200013,0.063349,1.733172
24,NA,白帝城,109.5593,31.0377,0.850250006,0.868600011,0.892849982,0.824299991,0.817149997,0.78125,0.766200006,0.04555,1.615922
25,NA,和尚山,106.5334,29.5071,0.979600012,1.044999957,1.182600021,1.103500009,0.966899991,0.844399989,0.797999978,0.064542,1.711205
26,NA,南津关,111.2706,30.7639,0.902199984,0.929099977,1.059100032,0.967000008,1.531100035,1.252400041,1.039899945,0.043876,1.531946
27,NA,寸滩,106.5996,29.6149,0.936150014,0.98089999,1.110299945,1.059200048,1.304049969,1.249899983,1.133749962,0.052727,1.233296
28,NA,苏家,108.0669,30.3124,1.205600023,1.238199949,1.343799949,1.387949944,1.729949951,1.692450047,1.486600041,0.051238,1.671838
29,NA,晒网坝,108.4766,30.839,0.897899985,0.933799982,1.018949986,0.917900026,0.898649991,0.809750021,0.77700001,0.04339,1.385769
30,NA,丰收坝,106.4615,29.3897,0.881299973,0.951900005,1.091199994,1.021199942,0.925999999,0.830299973,0.79460001,0.064912,1.506491
31,NA,白帝城,109.5593,31.0377,0.869300008,0.897650003,0.9472,0.877749979,0.870649993,0.803250015,0.773999989,0.055586,1.912739
32,NA,和尚山,106.5334,29.5071,0.963699996,1.018000007,1.116000056,1.060799956,0.919700027,0.820200026,0.788399994,0.06916,1.651834
33,NA,江津大桥,106.2569,29.2639,0.916700006,0.965200007,1.047799945,1.01699996,1.363499999,1.256100059,1.110599995,0.070117,1.419349
34,NA,云池(白洋),111.4927,30.4087,0.912899971,0.940100014,1.014050007,1.028550029,1.353399992,1.459599972,1.225049973,0.027234,2.272573
35,NA,南津关,111.2706,30.7639,0.909300029,0.914499998,0.969099998,0.947099984,1.467499971,1.197700024,0.997500002,0.046348,1.472438
36,NA,寸滩,106.5996,29.6149,0.957599998,0.990199983,1.07099998,1.066799998,1.327000022,1.283900023,1.16110003,0.055903,1.285031
37,NA,手爬岩,105.5415,28.8952,0.971300006,1.01030004,1.103099942,1.068300009,1.442600012,1.296000004,1.140900016,0.069427,1.360702
38,NA,清江大桥,111.4304,30.3997,0.951799989,0.983950019,1.054250002,1.053750038,1.30250001,1.218950033,1.131450057,0.011509,2.330647
39,NA,晒网坝,108.4766,30.839,0.863399982,0.912299991,0.994300008,0.890100002,0.883300006,0.804899991,0.776600003,0.051735,1.602807
40,NA,丰收坝,106.4615,29.3897,0.914900005,0.960900009,1.04400003,0.956700027,0.904299974,0.808099985,0.773199975,0.050779,1.421006
41,NA,和尚山,106.5334,29.5071,0.815299988,0.873899996,0.998899996,0.906400025,0.832000017,0.795599997,0.773000002,0.054402,1.416567
42,NA,江津大桥,106.2569,29.2639,0.920599997,0.966600001,1.065000057,1.029700041,1.412099957,1.270499945,1.110999942,0.056222,1.427969
43,NA,云池(白洋),111.4927,30.4087,0.917599976,0.967949986,1.068249941,1.071949959,1.401450038,1.46815002,1.246549964,0.017921,2.496719
44,NA,寸滩,106.5996,29.6149,0.882550001,0.916100025,0.968550026,0.960150003,1.106699944,1.050799966,0.989849985,0.044499,1.489935
45,NA,手爬岩,105.5415,28.8952,0.975600004,1.012899995,1.111600041,1.069700003,1.509500027,1.346199989,1.157500029,0.0592,1.364115
46,NA,清江大桥,111.4304,30.3997,0.959299982,1.003600001,1.07159996,1.072600007,1.379199982,1.30250001,1.215899944,0.0106,2.184357
47,NA,丰收坝,106.4615,29.3897,0.897499979,0.941200018,1.024999976,0.933000028,0.934599996,0.837100029,0.795149982,0.058927,1.637634
48,NA,和尚山,106.5334,29.5071,0.942149997,0.977699995,1.040549994,0.956499994,0.911949992,0.829900026,0.792550027,0.046731,1.45729
49,NA,云池(白洋),111.4927,30.4087,0.915499985,0.966300011,1.084400058,1.060600042,1.52489996,1.406200051,1.189299941,0.030416,2.833956
50,NA,南津关,111.2706,30.7639,0.885100007,0.907199979,1.014299989,0.943599999,1.557100058,1.249899983,1.069000006,0.077492,1.668687
51,NA,寸滩,106.5996,29.6149,0.772849977,0.838100016,0.988799989,0.919449985,1.206249952,1.102200031,0.998199999,0.060439,1.616397
52,NA,清江大桥,111.4304,30.3997,0.980400026,1.031700015,1.163650036,1.120100021,1.530099988,1.32949996,1.190999985,0.015891,2.861
53,NA,清溪场,107.4545,29.7967,0.887499988,0.925999999,1.004799962,0.916700006,0.92750001,0.84859997,0.794399977,0.057752,1.920226
54,NA,晒网坝,108.4766,30.839,0.909200013,0.915400028,0.917100012,0.847500026,0.846099973,0.781899989,0.756600022,0.053343,1.750393
55,NA,晒网坝,108.4766,30.839,0.838199973,0.843999982,0.906499982,0.746749997,0.72329998,0.741349995,0.745899975,0.062057,1.877062
