SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,TP,TN
1.080049992,1.128849983,1.191349983,1.186949968,1.643450022,1.61559999,1.559049964,0.051667,1.363333
0.895600021,0.925000012,1.054800034,1.046800017,1.813899994,1.42869997,1.175799966,0.06775,2.325
0.882000029,0.918500006,1.033800006,0.994599998,1.029800057,0.942499995,0.898199975,0.0425,0.6775
0.941900015,0.98360002,1.08949995,1.007300019,0.903699994,0.804499984,0.781000018,0.062,1.6375
0.73180002,0.693400025,0.835799992,0.816500008,1.260200024,0.963800013,0.898999989,0.0825,1.975
1.01639998,1.02335,1.116950035,1.084300041,1.791350007,1.471699953,1.227800012,0.051,0.905
0.933899999,0.969699979,1.071499944,1.060500026,1.646399975,1.410400033,1.234599948,0.02675,0.93
0.910399973,0.930899978,1.03610003,1.002500057,1.699300051,1.379999995,1.131500006,0.0285,1.42
0.963100016,1.023900032,1.19780004,1.120100021,1.60679996,1.380800009,1.156299949,0.0895,1.97
0.973399997,0.994400024,1.055099964,1.016000032,1.692000031,1.310299993,1.187000036,0.062,1.6575
0.97240001,1.013800025,1.156200051,1.141499996,1.853399992,1.555600047,1.305600047,0.032,0.6775
0.913699985,0.942149997,1.063650012,1.025900006,1.635249972,1.259150028,1.070950031,0.066,1.385
0.984600008,1.049200058,1.162500024,1.14320004,0.960600019,0.890500009,0.864199996,0.0655,1.56
0.930899978,0.958599985,1.045099974,0.996999979,0.951699972,0.840900004,0.809400022,0.0535,1.675
0.923300028,0.933799982,1.022099972,1.012099981,1.672099948,1.363299966,1.19749999,0.0505,1.7775
0.929099977,1.002300024,1.180899978,1.069300056,1.044399977,0.902800024,0.848699987,0.05675,1.8
0.926949978,0.962750018,1.082700014,1.039849997,1.788400054,1.363950014,1.133000016,0.07075,1.38
0.886500001,0.917150021,1.020449996,0.968200028,1.45114994,1.103950024,0.945850015,0.0535,1.8975
0.898800015,0.942600012,1.085500002,1.049100041,1.743700027,1.422799945,1.148900032,0.057985,1.919545
0.771600008,0.827650011,0.97390002,0.874199986,0.842949986,0.797100008,0.779900014,0.065554,1.576615
0.891099989,0.919149995,1.052150011,0.992449999,1.527850032,1.179399967,1.011299968,0.088714,2.145714
1.003999949,1.04914999,1.130599976,1.116099954,1.480350018,1.396149993,1.335999966,0.071892,1.727692
0.981850028,0.996550024,1.084800005,1.08344996,1.615399957,1.584400058,1.314800024,0.059636,1.840455
0.921199977,0.970700026,1.09679997,1.06309998,1.752599955,1.374500036,1.139899969,0.035227,0.9
0.898199975,0.93870002,1.072600007,1.014799953,1.79429996,1.413200021,1.140799999,0.033985,1.385909
0.91140002,0.936699986,1.029150009,0.979149997,1.604300022,1.271100044,1.04764998,0.125618,2.137636
1.136800051,1.193400025,1.304200053,1.277099967,1.782199979,1.517699957,1.294700027,0.089267,1.417667
1.0704,1.082900047,1.178200006,1.186499953,1.735599995,1.598999977,1.327600002,0.035303,0.965
0.836300015,0.853299975,0.99180001,0.916899979,1.404500008,1.021700025,0.884199977,0.078606,1.29303
1.016700029,1.065400004,1.198500037,1.251399994,0.971099973,0.830799997,0.818599999,0.071804,1.544667
0.981700003,1.005399942,1.070899963,1.051399946,1.081099987,0.983699977,0.929400027,0.053848,1.762273
0.972100019,1.006100059,1.095649958,1.038200021,0.930050015,0.828000009,0.798300028,0.057049,1.765574
0.925700009,0.959599972,1.100499988,1.02670002,1.937899947,1.423499942,1.129899979,0.074492,1.513968
0.914099991,0.934099972,1.021900058,0.975399971,1.609899998,1.211300015,1.019799948,0.051924,1.807273
0.967649996,1.008249998,1.128299952,1.147899985,1.573349953,1.49000001,1.310349941,0.057656,1.902656
1.070350051,1.127200007,1.125550032,1.109799981,1.426499963,1.38409996,1.251600027,0.075817,1.279231
0.933300018,0.97359997,1.081799984,1.035899997,0.812099993,0.762199998,0.751900017,0.077926,1.604559
0.838,0.87529999,0.923099995,0.913399994,1.083299994,1.053300023,0.924399972,0.073852,1.845238
0.890299976,0.922599971,1.024799943,1.002699971,1.390599966,1.25,1.045699954,0.110412,2.351053
0.858299971,0.867399991,0.913399994,0.902199984,1.388399959,1.157199979,0.968599975,0.086564,1.494135
0.917450011,0.932550013,1.009199977,0.966799974,0.813750029,0.764949977,0.750949979,0.070376,1.89062
0.952000022,0.992299974,1.09920001,1.075600028,0.86680001,0.782999992,0.766499996,0.075682,1.7
