,...1,日期,断面,lon,lat,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,TP,TN
1,3,NA,姚港(河西水厂),115.96972,29.7244,1.041000009,1.058949947,1.131600022,1.162099957,1.369449973,1.336500049,1.237349987,0.093,2.07
2,5,NA,杨泗港,114.2585,30.4793,0.941550016,0.958949983,1.025099993,1.030300021,1.428200006,1.234899998,1.082800031,0.055333,1.523333
3,9,NA,燕矶,115.0072,30.3992,0.893599987,0.92869997,1.034999967,0.993900001,1.774199963,1.320799947,1.082399964,0.060333,1.546667
4,12,NA,湖口,116.1749,29.7703,0.955349982,0.990750015,1.101300001,1.061050057,0.912800014,0.828350008,0.80339998,0.07625,1.845
5,15,NA,富池闸,115.4248,29.8762,0.91170001,0.944100022,1.034700036,1.00030005,1.352100015,1.140100002,1.014799953,0.037375,1.745
6,16,NA,荆江口,112.9747,29.4825,0.84890002,0.87650001,0.940050006,0.855750024,0.830550015,0.775650024,0.761349976,0.041,1.7425
7,17,NA,汉洪大桥,113.8431,30.1981,0.891600013,0.91960001,1.025699973,0.986549973,1.764050007,1.373250008,1.122149944,0.049,0.845
8,28,NA,新滩,113.8969,30.1678,0.986450016,1.014050007,1.134600043,1.15929997,1.769649982,1.656649947,1.41384995,0.09175,1.58875
9,29,NA,白浒山,114.6287,30.5484,0.926249981,0.971899986,1.079949975,1.03915,1.734500051,1.367849946,1.160050035,0.0525,0.905
10,30,NA,鄱阳湖出口,116.216,29.7369,1.036200047,1.065700054,1.154350042,1.156149983,1.623550057,1.569350004,1.444000006,0.054,1.466667
11,32,NA,龙口,114.5828,30.6414,1.033400059,1.061149955,1.14715004,1.218099952,1.520349979,1.65989995,1.555250049,0.0314,0.772
12,37,NA,砖瓦厂,112.0622,30.2783,1.047199965,1.071699977,1.163900018,1.195500016,1.510699987,1.488399982,1.294999957,0.051379,2.373939
13,38,NA,柳口,112.4239,29.9947,0.888700008,0.904100001,0.976499975,0.952899992,1.360299945,1.176599979,1.080299973,0.05097,1.770606
14,44,NA,荆州河口,112.0547,30.2944,0.905600011,0.94690001,1.060700059,1.00909996,1.320799947,1.094099998,0.973399997,0.094791,2.032985
15,46,NA,观音寺,112.2539,30.1989,0.894299984,0.911499977,1.021600008,0.968100011,1.90989995,1.370300055,1.143599987,0.043667,1.740758
16,54,NA,鄱阳湖出口,116.216,29.7369,0.979799986,1.038300037,1.129799962,1.128499985,1.672299981,1.390699983,1.218600035,0.059054,1.453108
17,56,NA,龙口,114.5828,30.6414,0.976599991,1.00090003,1.092200041,1.094799995,1.619300008,1.573199987,1.426599979,0.075853,0.904412
18,61,NA,砖瓦厂,112.0622,30.2783,0.928900003,0.970300019,1.112300038,1.083699942,1.369500041,1.291499972,1.120499969,0.062984,2.169435
19,62,NA,柳口,112.4239,29.9947,0.98299998,1.029099941,1.140400052,1.111199975,1.531499982,1.327700019,1.198799968,0.066358,1.918857
20,65,NA,荆州河口,112.0547,30.2944,0.915099978,0.971700013,1.158200026,1.113700032,1.44749999,1.202200055,1.04489994,0.090476,2.13619
21,66,NA,荆江口,112.9747,29.4825,0.936200023,0.997699976,1.163100004,1.128499985,1.235499978,1.266100049,1.253800035,0.063812,1.738806
22,68,NA,观音寺,112.2539,30.1989,0.887799978,0.931800008,1.066599965,1.007300019,1.46510005,1.253700018,1.084100008,0.061614,1.880877
23,69,NA,调关,112.6236,29.6919,0.969699979,1.033800006,1.153699994,1.152799964,1.399399996,1.401600003,1.280500054,0.072163,2.028148
24,74,NA,白浒山,114.6287,30.5484,0.899900019,0.921800017,1.011299968,0.974600017,1.555899978,1.359500051,1.076400042,0.070743,1.048971
25,76,NA,龙口,114.5828,30.6414,0.988399982,1.016600013,1.079300046,1.132300019,1.311699986,1.496799946,1.366400003,0.025238,1.633033
26,80,NA,姚港(河西水厂),115.96972,29.7244,0.656350017,0.685400009,0.847000003,0.758849978,0.815599978,0.902549982,0.871399999,0.094204,2.117717
27,86,NA,荆江口,112.9747,29.4825,0.841099977,0.909300029,1.044999957,0.940100014,0.898699999,0.815999985,0.779699981,0.067913,1.584944
28,87,NA,汉洪大桥,113.8431,30.1981,0.911000013,0.973200023,1.090600014,1.069100022,1.350900054,1.266899943,1.109500051,0.071792,2.205357
29,93,NA,白浒山,114.6287,30.5484,0.953499973,1.004699945,1.084100008,1.077299953,1.401800036,1.27639997,1.108299971,0.076926,1.240114
30,94,NA,鄱阳湖出口,116.216,29.7369,0.892149985,0.934249997,1.066249967,1.020099998,1.229550004,1.161599994,1.072849989,0.062211,1.509277
31,96,NA,龙口,114.5828,30.6414,0.975499988,1.018700004,1.101699948,1.108899951,1.268900037,1.202800035,1.109200001,0.016016,1.973145
32,99,NA,姚港(河西水厂),115.96972,29.7244,1.059399962,1.082100034,1.138900042,1.217000008,1.296399951,1.350800037,1.291499972,0.087731,1.928
33,100,NA,杨泗港,114.2585,30.4793,0.972800016,1.01730001,1.094400048,1.107300043,1.228899956,1.186300039,1.138599992,0.067665,1.227706
34,103,NA,砖瓦厂,112.0622,30.2783,0.933000028,0.985300004,1.076599956,1.120300055,1.352599978,1.401800036,1.259799957,0.068664,2.075246
35,104,NA,中官铺,115.473,29.8408,1.019799948,1.042400002,1.163200021,1.213099957,1.383900046,1.442100048,1.37469995,0.071562,1.969804
