SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,TP,TN
0.924600005,0.98299998,1.095800042,1.031399965,0.982900023,0.879000008,0.830200016,0.072 ,2.72 
0.962499976,1.014600039,1.091300011,1.014400005,0.922500014,0.842999995,0.806100011,0.051 ,3.09 
0.903699994,0.976800025,1.104900002,1.015300035,0.886200011,0.826099992,0.799099982,0.082 ,3.53 
0.733500004,0.833999991,1.040400028,0.909799993,0.763300002,0.808499992,0.800999999,0.058 ,2.96 
0.802600026,0.903100014,1.118000031,1.007500052,0.797299981,0.812399983,0.803799987,0.080 ,2.88 
0.720300019,0.817499995,1.028900027,0.914200008,0.828000009,0.836099982,0.816699982,0.117 ,4.93 
0.867900014,0.973800004,1.16900003,1.122099996,0.873600006,0.810800016,0.79430002,0.123 ,4.20 
0.834800005,0.887499988,1.00030005,0.930899978,0.92049998,0.855099976,0.824000001,0.070 ,3.55 
0.833000004,0.888700008,0.996200025,0.923900008,0.882600009,0.854600012,0.833599985,0.050 ,3.00 
0.756099999,0.828999996,1.004699945,0.911199987,0.822600007,0.83099997,0.822099984,0.153 ,4.16 
0.806400001,0.880400002,1.036599994,0.935500026,0.845000029,0.827600002,0.812300026,0.112 ,4.59 
0.837599993,0.903100014,1.039499998,0.943799973,0.840200007,0.812600017,0.798699975,0.110 ,4.36 
0.924099982,0.978299975,1.096300006,1.047500014,0.975399971,0.893100023,0.859799981,0.127 ,3.82 
0.846499979,0.940199971,1.113000035,1.050699949,0.837100029,0.801199973,0.795000017,0.127 ,3.48 
0.748899996,0.845600009,1.035899997,0.925800025,0.7579,0.786599994,0.789300025,0.110 ,3.75 
0.875699997,0.922399998,1.045300007,0.938300014,0.994899988,0.818099976,0.777199984,0.078 ,1.75 
0.893000007,0.946799994,1.095900059,0.975600004,0.881600022,0.846300006,0.819800019,0.162 ,3.21 
0.730400026,0.800300002,1.018900037,0.872200012,0.821500003,0.802200019,0.789499998,0.079 ,2.10 
0.700900018,0.774999976,0.964600027,0.814700007,0.749800026,0.768400013,0.763599992,0.133 ,3.28 
0.726000011,0.799499989,0.954599977,0.808499992,0.732299984,0.771600008,0.772700012,0.107 ,3.04 
0.748600006,0.870899975,1.112100005,1.004699945,0.940599978,0.882499993,0.838,0.106 ,2.60 
0.718100011,0.806999981,1.040199995,0.873899996,0.738399982,0.761099994,0.765600026,0.085 ,2.83 
0.75029999,0.85710001,1.094400048,0.923099995,0.703299999,0.749199986,0.758300006,0.071 ,2.74 
1.023300052,1.108800054,1.262599945,1.254099965,1.019400001,0.893899977,0.864099979,0.058 ,1.52 
1.006000042,1.078600049,1.216699958,1.212599993,0.980599999,0.870199978,0.846599996,0.071 ,1.89 
0.756600022,0.822899997,0.992900014,0.886399984,0.776499987,0.756299973,0.755500019,0.230 ,1.99 
0.732800007,0.763400018,0.842800021,0.773299992,0.721000016,0.733900011,0.742500007,0.187 ,1.52 
