SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,×ÜÁ×,×Üµª
0.930100024,0.989499986,1.099599957,1.004799962,0.970600009,0.826399982,0.788699985,0.087 ,1.71 
0.778100014,0.864499986,1.057700038,0.910700023,0.812099993,0.777100027,0.766200006,0.060 ,1.73 
0.735499978,0.826699972,1.047000051,0.91170001,0.742299974,0.775900006,0.778699994,0.080 ,2.15 
0.729700029,0.827799976,1.053599954,0.909099996,0.745199978,0.781899989,0.783200026,0.076 ,2.18 
0.755200028,0.841899991,1.062600017,0.913100004,0.781899989,0.770799994,0.766900003,0.073 ,2.40 
0.922999978,0.977699995,1.104900002,1.017199993,0.908200026,0.824599981,0.797900021,0.066 ,2.51 
0.9375,1.006700039,1.170099974,1.057600021,0.874000013,0.836600006,0.817200005,0.074 ,3.29 
0.874000013,0.964900017,1.163499951,1.032799959,0.816900015,0.841899991,0.831799984,0.108 ,3.70 
0.867900014,0.947300017,1.121199965,1.058899999,0.924099982,0.845700026,0.818199992,0.155 ,3.34 
0.748300016,0.843699992,1.113999963,0.943899989,0.801999986,0.782999992,0.769400001,0.066 ,2.31 
0.718900025,0.800599992,0.99970001,0.84799999,0.7597,0.768700004,0.76819998,0.081 ,2.35 
0.902700007,0.943799973,1.052299976,0.991599977,0.882099986,0.819500029,0.796700001,0.145 ,4.74 
0.717700005,0.775600016,0.944599986,0.827099979,0.762000024,0.807299972,0.803900003,0.119 ,4.29 
0.737600029,0.822600007,1.060400009,0.896300018,0.777100027,0.771300018,0.765600026,0.081 ,2.37 
0.963400006,1.058500051,1.200199962,1.146299958,1.125699997,0.987500012,0.923099995,0.161 ,2.09 
1.091099977,1.144299984,1.251700044,1.20449996,1.042099953,0.873000026,0.842700005,0.159 ,1.59 
0.758300006,0.885900021,1.118700027,1.055699944,0.913800001,0.842199981,0.82950002,0.177 ,2.01 
1.006899953,1.085299969,1.220199943,1.18719995,1.026200056,0.869000018,0.842700005,0.141 ,1.61 
1.038499951,1.111299992,1.229900002,1.194200039,1.00849998,0.877200007,0.84829998,0.173 ,2.26 
1.048599958,1.112100005,1.23360002,1.209100008,1.063199997,0.879899979,0.847299993,0.186 ,2.72 
1.058500051,1.129299998,1.257099986,1.20720005,0.958400011,0.8829,0.852999985,0.110 ,1.33 
1.073500037,1.14289999,1.265499949,1.23210001,0.9921,0.878799975,0.850300014,0.083 ,1.14 
0.915000021,0.983699977,1.1329,1.102100015,1.11619997,0.854900002,0.83130002,0.190 ,1.98 
1.042400002,1.109599948,1.255399942,1.174399972,0.976000011,0.886600018,0.85680002,0.062 ,1.03 
0.847899973,0.933300018,1.08949995,1.03579998,0.994000018,0.850199997,0.827799976,0.388 ,4.06 
0.9023,0.97420001,1.107499957,1.049000025,0.986699998,0.83829999,0.816500008,0.283 ,3.41 
,,,,,,,,
